ID,Product,Reported Date,Sell Date,Failure Type,Addressed,Usage
1,HH-SPRAYER-ONEP,13 Sep 2020,19 Nov 2019,Right handle cracked or split,Provided new product,Contracter
2,HH-SPRAYER-ONEP,09 Jun 2020,05 Sep 2018,Trigger cracked or split,Provided new product,Maintenance and Sanitation
3,HH-SPRAYER-ONEP,22 Sep 2019,28 Mar 2019,Right handle cracked or split,None-problem or delay,Contracter
4,HH-SPRAYER-ONEP,19 Mar 2021,04 Jul 2020,Assembly loose or misaligned,Provided new product,Agriculture
5,HH-SPRAYER-ONEP,21 May 2020,08 Sep 2018,Left upper casing cracked or split,Provided new product,Maintenance and Sanitation
6,HH-SPRAYER-ONEP,15 Mar 2019,27 Jan 2017,Battery disfunction,Provided new product,Maintenance and Sanitation
7,HH-SPRAYER-ONEP,03 Feb 2020,17 Oct 2018,missing,Provided new product,Did not report
8,HH-SPRAYER-ONEP,01 Dec 2017,06 Nov 2017,Assembly loose or misaligned,Provided new product,Did not report
9,HH-SPRAYER-ONEP,20 Oct 2019,20 Oct 2019,Trigger loose or misaligned,Provided new product,Did not report
10,HH-SPRAYER-ONEP,18 Jun 2021,28 Aug 2019,Trigger cracked or split,None-pending,Did not report
11,HH-SPRAYER-ONEP,29 Mar 2021,25 Mar 2020,Right upper casing cracked or split,Provided new product,Maintenance and Sanitation
12,HH-SPRAYER-ONEP,09 May 2022,14 Jul 2020,Electrical disfunction,Provided new product,Agriculture
13,HH-SPRAYER-ONEP,23 Jan 2022,10 Nov 2020,Right handle cracked or split,None-pending,Contracter
14,HH-SPRAYER-ONEP,14 Feb 2020,20 Aug 2018,Trigger cracked or split,Provided new product,Maintenance and Sanitation
15,HH-SPRAYER-ONEP,01 Aug 2020,10 Feb 2019,Left handle cracked or split,Refunded purchase,Did not report
16,HH-SPRAYER-ONEP,04 Aug 2021,07 Oct 2019,Battery disfunction,Refunded purchase,Did not report
17,HH-SPRAYER-ONEP,11 Oct 2021,07 Jan 2020,Electrical disfunction,Provided new product,Did not report
18,HH-SPRAYER-ONEP,11 Jul 2019,26 Dec 2017,Left upper casing cracked or split,Refunded purchase,Did not report
19,HH-SPRAYER-ONEP,09 Oct 2020,06 May 2019,Left handle cracked or split,Refunded purchase,Did not report
20,HH-SPRAYER-ONEP,12 Oct 2020,21 Jul 2018,Battery disfunction,Provided new product,Did not report
